MC_id,success,message,final_storage,total_runoff,total_AET,theta_top_final,theta_bottom_final,layer1_thetas,layer1_thetar,layer1_alpha,layer1_N,layer1_Ksat,layer2_thetas,layer2_thetar,layer2_alpha,layer2_N,layer2_Ksat,layer3_thetas,layer3_thetar,layer3_alpha,layer3_N,layer3_Ksat,layer4_thetas,layer4_thetar,layer4_alpha,layer4_N,layer4_Ksat,layer5_thetas,layer5_thetar,layer5_alpha,layer5_N,layer5_Ksat,layer6_thetas,layer6_thetar,layer6_alpha,layer6_N,layer6_Ksat,layer7_thetas,layer7_thetar,layer7_alpha,layer7_N,layer7_Ksat,layer8_thetas,layer8_thetar,layer8_alpha,layer8_N,layer8_Ksat
10,True,The solver successfully reached the end of the integration interval.,852.2585611613966,2941.4127433505537,0.6459920542456368,0.43919756229542634,0.42457237664514347,0.43933982438798325,0.09479164719042694,0.7987400488182613,1.3668699896733754,0.11788297639644338,0.4383564588331793,0.10049696115573808,0.6640430704044942,1.2997397907010357,0.11788887633257975,0.4334994875697137,0.10673382737567742,0.7618902862295254,1.3554607789303401,0.11834248286446908,0.4331665669901038,0.11253707257522114,0.5781881295499337,1.3265213510200091,0.21880626044504642,0.4182181921050787,0.113225391162957,0.775885352504247,1.3567801595813982,0.1302176824425249,0.421423491643396,0.11088740845515767,0.7166572468816544,1.4549497660403756,0.050998472026371644,0.4228964333463276,0.10995028598366291,0.741867053219121,1.4310635802357439,0.023005147169716668,0.42457237664514347,0.10951105658470021,0.5372035766051997,1.4086355644043955,0.013986500908222172
11,False,Required step size is less than spacing between numbers.,837.9122456540235,440.8414135350188,0.07186422857604026,0.427279091011016,0.4177564628695534,0.4316134801224148,0.11718782785374257,0.6619537792632157,1.3283353243243339,0.11769089796974075,0.4326768093935311,0.11402590096097656,0.567465653744535,1.3196433104416923,0.11776858008611411,0.4255443313001299,0.08462986070377186,0.646198012212007,1.3731871064986845,0.11777603511048382,0.426293158401213,0.1211100190931183,0.5984929214243793,1.394385970287779,0.2191941776456692,0.42120625077341245,0.10338609951011105,0.5595243311336323,1.4351467953641892,0.13025268427302367,0.4139496579766745,0.10534215246762077,0.9081678958313056,1.4697201220721,0.05105013179899963,0.41241358971912245,0.09826784822220208,0.5338314925153864,1.4364298602241672,0.022969646345474538,0.4177564628695534,0.10972661946709854,0.5590739893124933,1.3429729215880737,0.013987562958040635
12,True,The solver successfully reached the end of the integration interval.,841.4204915245133,2805.698095207349,0.762145175129373,0.4508701691706252,0.4221114747519667,0.4510763437710642,0.10001545099333344,0.5190166367556107,1.3174032631535049,0.11832710825836815,0.4366867896718277,0.11556378301472392,0.7262043250242999,1.3882598809317332,0.1179065218683295,0.4354310885056054,0.11560830955504592,0.7133922694586956,1.319265287780842,0.11792952458140317,0.42265814663547735,0.09489350380548348,0.42997932837400243,1.3619911974082048,0.2191854342349634,0.40744795359190256,0.10184879650292475,0.6398489704283197,1.3635821872602136,0.1298309266750572,0.39819980398357935,0.10465839732188612,0.8545395390996259,1.339790511590742,0.050863272030605026,0.42212377232238174,0.10958562750963756,0.5387494947361298,1.434163871991923,0.023092946892486928,0.4221114747519667,0.11099183859833824,0.5277268214713496,1.3884103366684164,0.014034919503695835
13,True,The solver successfully reached the end of the integration interval.,834.4617268123565,3045.4814770703388,0.5666084786441674,0.4326965162238809,0.41415925632280354,0.43284401910577797,0.11527560365456167,0.7177322516034189,1.3638059195369507,0.11815252307251049,0.4408963080345467,0.10391767183225095,0.6474515347616701,1.3663149272435733,0.11765360930717193,0.42386117120661293,0.10769685458765693,0.503636964801322,1.4608412861522253,0.1180165792805513,0.43962242865254475,0.11769180449751578,0.6293290787886757,1.3907617181912528,0.2183797765531429,0.4188813078690641,0.1135768469936052,0.5929273182434914,1.3394080537643265,0.1298640511915788,0.4010399392966019,0.1140681024786063,0.5637181361697807,1.3790966438600498,0.05094994534170547,0.4112738394982508,0.09777521054607381,0.5600460843103854,1.3635726559821972,0.02306518278392628,0.41415925632280354,0.10089183854217089,0.6421716667803052,1.3976632792614827,0.014016130620434088
14,True,The solver successfully reached the end of the integration interval.,855.8336552755292,2976.7130780106554,0.6179255418554467,0.41764453020962566,0.4406638514637105,0.41778661778464743,0.11461396256336645,0.7471596494551996,1.4111080593478782,0.11805822758034426,0.4314823358993726,0.11238456740352198,0.6609048113412919,1.4614139429892843,0.11811446577397444,0.4313776923738341,0.1128276500453631,0.5549827014944381,1.4010580284428367,0.11845515840260154,0.41851506749793405,0.10810978329675197,0.7951139822284335,1.3752687370196035,0.2188485434467296,0.43304598446520964,0.10124245339615884,0.6953819625733013,1.3944815498031935,0.12986799228054485,0.4055359566993935,0.09440490235097607,0.6607277344002771,1.3829344948835411,0.05098769903316128,0.42177555242904685,0.11298462987065859,0.5573135648715888,1.3507406093257133,0.023025644244286516,0.4406638514637105,0.10749981309880649,0.5979918115296605,1.3740518849873515,0.013965526293243465
15,True,The solver successfully reached the end of the integration interval.,855.0460787937857,3053.5615483955057,0.559343527155785,0.43342304749473587,0.43867609758068327,0.4335923018975839,0.10713210252542578,0.6217635879430087,1.335114291139545,0.11781078678607507,0.40830386696204735,0.10494421089535064,0.8685993629237967,1.3636748912376586,0.11803812984245628,0.4301061286455867,0.10888751103434492,0.5869764722666719,1.3783105952727153,0.11801592568845817,0.4313276569142982,0.11076307744580222,0.6341409532513568,1.3811634307754388,0.2184755838299189,0.40780677608519844,0.12230096899421372,0.5889279819862576,1.31333038522627,0.12989190130786044,0.4088473233118745,0.10271975906822228,0.9422412030100216,1.4309998893934965,0.05128740853166823,0.4281512787286265,0.10347065193906985,0.6335466136316049,1.363625344293296,0.022928003774160086,0.43867609758068327,0.10665183202395208,0.5494027559730361,1.3638407124423848,0.014044614369471733
16,True,The solver successfully reached the end of the integration interval.,835.6171822022026,3028.6536687693397,0.5717067498405687,0.4252611590521225,0.4193406065196254,0.4253968571568518,0.11491142349209979,0.7693418625272358,1.376996306983899,0.11808787659803376,0.4077972365922565,0.10180552039112578,0.5924588599635946,1.362260217131972,0.11837064943423742,0.43721989044790077,0.11329375853242958,0.5434749738302999,1.4062288414817576,0.11763514873869566,0.42349106592511226,0.1115120884274617,0.874272767626117,1.4303472097122982,0.21923151243267,0.42016708968586125,0.11070086787081466,0.5137947944500166,1.343809122454001,0.13061991113498056,0.41281525850611306,0.12128238194464502,0.736228026502134,1.3896906949800711,0.050977172697386886,0.41246948760593033,0.12691525815761695,0.8200279615504754,1.3785467830521523,0.023000739323464862,0.4193406065196254,0.1017824277627052,0.6913555795361989,1.3078941300957179,0.013949913403385035
17,True,The solver successfully reached the end of the integration interval.,840.72389885337,3061.458475827714,0.5638471113326452,0.4304581240159618,0.41436777434099237,0.43061066417783944,0.1185971771371287,0.6729718897112968,1.350611366152792,0.11790048980658518,0.4261793711707921,0.09778539274783461,0.6723615204508769,1.3222442074193557,0.11797081544370806,0.4304762286306052,0.1108629938151674,0.6150588310395628,1.4022640653898244,0.11766618004303407,0.41641026938239056,0.09791903965977654,0.6040559100579349,1.4542027839439784,0.21811540566173193,0.4198410823082931,0.10951124480312854,0.5576369605071143,1.385401742609929,0.1297000952208058,0.40701714959054036,0.09735358082432569,0.7459865426536596,1.394234213524236,0.051077334361982835,0.4435937467056427,0.11567675881014061,0.6249429402634284,1.395582973939623,0.023019225974832146,0.41436777434099237,0.10724056224316078,0.5295435983424859,1.4002798277983686,0.014016926498527104
18,True,The solver successfully reached the end of the integration interval.,834.5491420615261,2881.418156437212,0.7162215456028553,0.41467748249585273,0.40800447081479835,0.4148615294827319,0.10472943274571622,0.5319021241545309,1.3662774671284377,0.11789122248837845,0.43964670398720823,0.11039048999758908,0.7538679074211756,1.3928374443880533,0.11820053952579145,0.4310322537912215,0.10588237722335808,0.6435430605731333,1.3761031510067987,0.1182083406866317,0.4259145906839976,0.11596174097904827,0.8525768703609989,1.4063968201128216,0.21912097464119717,0.4182710702923421,0.10138880458416274,0.5009436414788593,1.4515606831524164,0.12969856239181743,0.41074406361021665,0.10275774112757084,0.7561813999727565,1.3896109515669426,0.0509026890545787,0.43380775741764116,0.10278213528795799,0.547626098891584,1.4365775365482008,0.02296332841550535,0.40800447081479835,0.10271258040617667,0.6051642846629817,1.4879013505305176,0.014056874040078953
19,True,The solver successfully reached the end of the integration interval.,849.5820635867647,3002.3389740764865,0.6059487562346473,0.41643061224285727,0.4342428536902407,0.41658267120198506,0.11185541816856401,0.7111431308365781,1.4263468154603136,0.117966613515934,0.41137462136833175,0.11689129012807019,0.661489141818192,1.363367400010517,0.1182127532381779,0.4238234640336385,0.0990035751665354,0.7102490854517274,1.4481627990175918,0.11815609402672977,0.41331803544325996,0.10169126099971947,0.6888734925312058,1.3283158463603022,0.21922395139914616,0.4038777216413606,0.11742775280052169,0.8596228541140918,1.4073725806037065,0.1302946571184198,0.4142598938022412,0.10212405062163472,0.8519824412348224,1.3418158563206606,0.05091890610485171,0.43533206626182064,0.11110418769398983,0.8774414767117187,1.3709687279086813,0.02301581875012479,0.4342428536902407,0.10881703601447477,0.5854513450412684,1.3654340878603506,0.014036924149238128
